tmdbId,type,Name,Budget,Revenue,Original_Lang,Runtime,Adult,Actor_1,Actor_2,Director
40206,movie,The Inspector General,0,0,en,101,FALSE,Danny Kaye,Walter Slezak,Henry Koster
260,movie,The 39 Steps,0,0,en,86,FALSE,Robert Donat,Madeleine Carroll,Alfred Hitchcock
10331,movie,Night of the Living Dead,114000,30000000,en,96,FALSE,Judith O'Dea,Duane Jones,George A. Romero
488,movie,The African Queen,1000000,10750000,en,105,FALSE,Humphrey Bogart,Katharine Hepburn,John Huston
22733,movie,Beat the Devil,1000000,0,en,95,FALSE,Humphrey Bogart,Jennifer Jones,John Huston
261,movie,Cat on a Hot Tin Roof,3000000,17570324,en,108,FALSE,Elizabeth Taylor,Paul Newman,Richard Brooks
32574,movie,Meet John Doe,0,2000000,en,122,FALSE,Gary Cooper,Barbara Stanwyck,Frank Capra
22649,movie,A Farewell to Arms,0,0,en,89,FALSE,Helen Hayes,Gary Cooper,Frank Borzage
125587,movie,Nothing Personal,0,0,en,83,FALSE,Ian Hart,John Lynch,Thaddeus O'Sullivan
52855,movie,Dangerous Ground,0,3028094,en,95,FALSE,Ice Cube,Elizabeth Hurley,Darrell James Roodt
39940,movie,Picnic,0,0,en,114,FALSE,William Holden,Kim Novak,Joshua Logan
85328,movie,The Pompatus of Love,0,0,en,99,FALSE,Adrian Pasdar,Jon Cryer,Richard Schenkman
11076,movie,Fly Away Home,22000000,25143818,en,107,FALSE,Jeff Daniels,Anna Paquin,Carroll Ballard
63945,movie,Bliss,0,294064,en,103,FALSE,Craig Sheffer,Sheryl Lee,Lance Young
58985,movie,Grace of My Heart,5000000,660313,en,116,FALSE,Illeana Douglas,Matt Dillon,Allison Anders
10861,movie,Maximum Risk,25000000,51702483,en,100,FALSE,Jean-Claude Van Damme,Natasha Henstridge,Ringo Lam
1770,movie,Michael Collins,25000000,16900000,en,132,FALSE,Liam Neeson,Aidan Quinn,Neil Jordan
2033,movie,Infinity,0,0,en,119,FALSE,Matthew Broderick,Patricia Arquette,Matthew Broderick
18203,movie,Big Night,4100000,12008376,en,107,FALSE,Stanley Tucci,Tony Shalhoub,No Director
9333,movie,Last Man Standing,67000000,47267001,en,101,FALSE,Bruce Willis,Bruce Dern,Walter Hill
9400,movie,Set It Off,9000000,41590886,en,123,FALSE,Jada Pinkett Smith,Queen Latifah,F. Gary Gray
9401,movie,2 Days in the Valley,0,11132156,en,104,FALSE,Danny Aiello,Jeff Daniels,John Herzfeld
11306,movie,Extreme Measures,38000000,17380126,en,118,FALSE,Hugh Grant,Gene Hackman,Michael Apted
9625,movie,The Glimmer Man,45000000,20350000,en,92,FALSE,Steven Seagal,Keenen Ivory Wayans,John Gray
10680,movie,D3: The Mighty Ducks,0,22955097,en,104,FALSE,Emilio Estevez,Jeffrey Nordling,Rob Lieberman
6346,movie,The Chamber,50000000,22540359,en,113,FALSE,Chris O'Donnell,Gene Hackman,James Foley
18660,movie,The Apple Dumpling Gang,0,36853000,en,100,FALSE,Don Knotts,Tim Conway,Norman Tokar
35115,movie,"Davy Crockett, King of the Wild Frontier",2150000,0,en,93,FALSE,Fess Parker,Hans Conried,Norman Foster
14821,movie,Escape to Witch Mountain,0,20000000,en,97,FALSE,Eddie Albert,Ray Milland,John Hough
14136,movie,The Love Bug,0,51264022,en,107,FALSE,Dean Jones,Michele Lee,Robert Stevenson
10869,movie,Herbie Rides Again,0,38229000,en,88,FALSE,Helen Hayes,Ken Berry,Robert Stevenson
22660,movie,Old Yeller,21909000,0,en,84,FALSE,Tommy Kirk,Dorothy McGuire,Robert Stevenson
19186,movie,The Parent Trap,0,29650385,en,129,FALSE,Hayley Mills,Maureen O'Hara,David Swift
31102,movie,Pollyanna,2500000,3750000,en,134,FALSE,Hayley Mills,Jane Wyman,David Swift
6878,movie,Homeward Bound: The Incredible Journey,0,0,en,84,FALSE,Michael J. Fox,Sally Field,Duwayne Dunham
15944,movie,The Shaggy Dog,1250000,17658000,en,104,FALSE,Fred MacMurray,Jean Hagen,Charles Barton
18444,movie,Swiss Family Robinson,5000000,40356000,en,126,FALSE,John Mills,Dorothy McGuire,Ken Annakin
20723,movie,That Darn Cat!,0,0,en,112,FALSE,Hayley Mills,Dean Jones,Robert Stevenson
173,movie,"20,000 Leagues Under the Sea",5000000,28200000,en,127,FALSE,Kirk Douglas,James Mason,Richard Fleischer
864,movie,Cool Runnings,14000000,154856263,en,98,FALSE,Leon,Doug E. Doug,Jon Turteltaub
24795,movie,Angels in the Outfield,31000000,50236831,en,102,FALSE,Danny Glover,Brenda Fricker,William Dear
11224,movie,Cinderella,2900000,263600000,en,74,FALSE,Ilene Woods,Eleanor Audley,No Director
81310,movie,Winnie the Pooh and the Blustery Day,0,0,en,25,FALSE,Sterling Holloway,John Fiedler,Wolfgang Reitherman
15947,movie,The Three Caballeros,0,0,en,71,FALSE,Clarence Nash,Sterling Holloway,No Director
9078,movie,The Sword in the Stone,3000000,22200000,en,79,FALSE,Sebastian Cabot,Karl Swenson,Wolfgang Reitherman
8367,movie,Robin Hood: Prince of Thieves,48000000,390493908,en,143,FALSE,Kevin Costner,Morgan Freeman,Kevin Reynolds
433,movie,Mary Poppins,4650000,103100000,en,139,FALSE,Julie Andrews,Dick Van Dyke,Robert Stevenson
11360,movie,Dumbo,812000,1600000,en,64,FALSE,Edward Brophy,Margaret Wright,No Director
11114,movie,Pete's Dragon,10000000,0,en,128,FALSE,Sean Marshall,Helen Reddy,Don Chaffey
12335,movie,Bedknobs and Broomsticks,20000000,17900000,en,117,FALSE,Angela Lansbury,David Tomlinson,Robert Stevenson
12092,movie,Alice in Wonderland,3000000,57200000,en,75,FALSE,Kathryn Beaumont,Ed Wynn,No Director
10948,movie,The Fox and the Hound,12000000,29800000,en,82,FALSE,Mickey Rooney,Kurt Russell,No Director
11229,movie,Freeway,3000000,0,en,102,FALSE,Kiefer Sutherland,Reese Witherspoon,Matthew Bright
15121,movie,The Sound of Music,8200000,286214286,en,174,FALSE,Julie Andrews,Christopher Plummer,Robert Wise
562,movie,Die Hard,28000000,140767956,en,132,FALSE,Bruce Willis,Alan Rickman,John McTiernan
10163,movie,The Lawnmower Man,10000000,32100816,en,108,FALSE,Jeff Fahey,Pierce Brosnan,Brett Leonard
47199,movie,The Secret Agent,0,0,en,95,FALSE,Bob Hoskins,Patricia Arquette,Christopher Hampton
11159,movie,Secrets & Lies,4500000,13417292,en,142,FALSE,Brenda Blethyn,Marianne Jean-Baptiste,Mike Leigh
9591,movie,That Thing You Do!,26000000,34585416,en,108,FALSE,Tom Hanks,Tom Everett Scott,Tom Hanks
30500,movie,To Gillian on Her 37th Birthday,0,4137645,en,93,FALSE,Peter Gallagher,Michelle Pfeiffer,Michael Pressman
10938,movie,Beautiful Thing,0,1500000,en,92,FALSE,Linda Henry,Glen Berry,Hettie Macdonald
11412,movie,The Long Kiss Goodnight,65000000,89500000,en,121,FALSE,Geena Davis,Samuel L. Jackson,Renny Harlin
10586,movie,The Ghost and the Darkness,50000000,38619405,en,109,FALSE,Michael Douglas,Val Kilmer,Stephen Hopkins
42314,movie,Looking for Richard,0,0,en,112,FALSE,Al Pacino,Winona Ryder,Al Pacino
27845,movie,Trees Lounge,1300000,0,en,95,FALSE,Steve Buscemi,Chloë Sevigny,Steve Buscemi
23223,movie,Normal Life,0,0,en,101,FALSE,Ashley Judd,Luke Perry,John McNaughton
49471,movie,Get on the Bus,2400000,5731103,en,120,FALSE,Richard Belzer,De'Aundre Bonds,Spike Lee
38153,movie,Shadow Conspiracy,45000000,2154540,en,103,FALSE,Charlie Sheen,Donald Sutherland,George P. Cosmatos
25147,movie,Jude,7000000,409144,en,123,FALSE,Kate Winslet,Christopher Eccleston,Michael Winterbottom
9716,movie,Everyone Says I Love You,20000000,9800000,en,101,FALSE,Drew Barrymore,Edward Norton,Woody Allen
454,movie,Romeo + Juliet,14500000,147298761,en,120,FALSE,Leonardo DiCaprio,Claire Danes,Baz Luhrmann
10218,movie,Swingers,200000,4505922,en,96,FALSE,Jon Favreau,Vince Vaughn,Doug Liman
819,movie,Sleepers,44000000,165600000,en,147,FALSE,Kevin Bacon,Robert De Niro,Barry Levinson
11238,movie,Aladdin and the King of Thieves,0,0,en,81,FALSE,Val Bettin,Jim Cummings,Tad Stones
31530,movie,Shall We Dance,991000,2168000,en,109,FALSE,Fred Astaire,Ginger Rogers,Mark Sandrich
